icd_code,condition_group
E1136,Diabetes
E1139,Diabetes
E114,Diabetes
E1140,Diabetes
E1141,Diabetes
E1142,Diabetes
E1143,Diabetes
E1144,Diabetes
E1149,Diabetes
E115,Diabetes
E1151,Diabetes
E1152,Diabetes
E1159,Diabetes
E116,Diabetes
E1161,Diabetes
E11610,Diabetes
E11618,Diabetes
E1162,Diabetes
E11620,Diabetes
E11621,Diabetes
E11622,Diabetes
E11628,Diabetes
E1163,Diabetes
E11630,Diabetes
E11638,Diabetes
E1164,Diabetes
E11641,Diabetes
E11649,Diabetes
E1165,Diabetes
E1169,Diabetes
E118,Diabetes
E119,Diabetes
E13,Diabetes
E130,Diabetes
E1300,Diabetes
E1301,Diabetes
E131,Diabetes
E1310,Diabetes
E1311,Diabetes
E132,Diabetes
E1321,Diabetes
E1322,Diabetes
E1329,Diabetes
E133,Diabetes
E1331,Diabetes
E13311,Diabetes
E13319,Diabetes
E1332,Diabetes
E13321,Diabetes
E13329,Diabetes
E1333,Diabetes
E13331,Diabetes
E13339,Diabetes
E1334,Diabetes
E13341,Diabetes
E13349,Diabetes
E1335,Diabetes
E13351,Diabetes
E13359,Diabetes
E1336,Diabetes
E1339,Diabetes
E134,Diabetes
E1340,Diabetes
E1341,Diabetes
E1342,Diabetes
E1343,Diabetes
E1344,Diabetes
E1349,Diabetes
E135,Diabetes
E1351,Diabetes
E1352,Diabetes
E1359,Diabetes
E136,Diabetes
E1361,Diabetes
E13610,Diabetes
E13618,Diabetes
E1362,Diabetes
E13620,Diabetes
E13621,Diabetes
E13622,Diabetes
E13628,Diabetes
E1363,Diabetes
E13630,Diabetes
E13638,Diabetes
E1364,Diabetes
E13641,Diabetes
E13649,Diabetes
E1365,Diabetes
E1369,Diabetes
E138,Diabetes
E139,Diabetes
E66,Obesity
E660,Obesity
E6601,Obesity
E6609,Obesity
E661,Obesity
E662,Obesity
E663,Obesity
E668,Obesity
E669,Obesity
F0631,MH6
F0632,MH6
F111,MH6
F1110,MH6
F1112,MH6
F11120,MH6
F11121,MH6
F11122,MH6
F11129,MH6
F1114,MH6
F1115,MH6
F11150,MH6
F11151,MH6
F11159,MH6
F1118,MH6
F11181,MH6
F11182,MH6
F11188,MH6
F1119,MH6
F112,MH6
F1120,MH6
F1122,MH6
F11220,MH6
F11221,MH6
F11222,MH6
F11229,MH6
F1123,MH6
F1124,MH6
F1125,MH6
F11250,MH6
F11251,MH6
F11259,MH6
F1128,MH6
F11281,MH6
F11282,MH6
F11288,MH6
F1129,MH6
F119,MH6
F1190,MH6
F1192,MH6
F11920,MH6
F11921,MH6
F11922,MH6
F11929,MH6
F1193,MH6
F1194,MH6
F1195,MH6
F11950,MH6
F11951,MH6
F11959,MH6
F1198,MH6
F11981,MH6
F11982,MH6
F11988,MH6
F1199,MH6
F12,MH6
F121,MH6
F1210,MH6
F1212,MH6
F12120,MH6
F12121,MH6
F12122,MH6
F12129,MH6
F1215,MH6
F12150,MH6
F12151,MH6
F12159,MH6
F1218,MH6
F12180,MH6
F12188,MH6
F1219,MH6
F122,MH6
